Número factura,Cliente,Código,Fecha,Vencimiento,Nombre,RFC,Calle,Colonia,Localidad,Estado,CP,País,Centro,Importe,Retención,Descuento,Base imponible,Importe IVA,Importe retención,Total,Cobrado,Forma de pago
087958211825-506494,Clinica Dental Tijuana,2112,31/01/2026,06/02/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,80.0,0.0,0.0,80.0,6.4,-0.0,86.4,86.4,
087958211825-506493,Dental Angel Smile,7399,31/01/2026,06/02/2026,Dental Angel Smile,-,Av Constitución 1284,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506492,Clinica Dental Integral,4505,30/01/2026,06/02/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506491,Clinica Dental Integral,4505,30/01/2026,06/02/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,225.0,0.0,0.0,225.0,0.0,-0.0,225.0,225.0,
087958211825-506490,Clinica Dental Integral,4505,30/01/2026,06/02/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,225.0,0.0,0.0,225.0,0.0,-0.0,225.0,225.0,
087958211825-506489,Clinica Dental Coronel,2795,30/01/2026,06/02/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506487,Regenerando Sonrisas,803,29/01/2026,06/02/2026,Regenerando Sonrisas,-,Alamo 19-Local 3,Libertad,Tijuana,Baja California,22400,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-506486,Clinica Dental Paleo,6153,27/01/2026,06/02/2026,Clinica Dental Paleo,-,Flores Magon 1225,Zona Centro,Tijuana,Baja California,22000,México,-,70.0,0.0,0.0,70.0,0.0,-0.0,70.0,70.0,
087958211825-506485,Clinica Dental Paleo,6153,27/01/2026,06/02/2026,Clinica Dental Paleo,-,Flores Magon 1225,Zona Centro,Tijuana,Baja California,22000,México,-,50.0,0.0,0.0,50.0,0.0,-0.0,50.0,50.0,
087958211825-506484,Clinica Dental Paleo,6153,27/01/2026,06/02/2026,Clinica Dental Paleo,-,Flores Magon 1225,Zona Centro,Tijuana,Baja California,22000,México,-,280.0,0.0,0.0,280.0,0.0,-0.0,280.0,280.0,
087958211825-506483,Clinica Dental Paleo,6153,27/01/2026,06/02/2026,Clinica Dental Paleo,-,Flores Magon 1225,Zona Centro,Tijuana,Baja California,22000,México,-,70.0,0.0,0.0,70.0,0.0,-0.0,70.0,70.0,
087958211825-506481,Clinica Dental Tijuana,2112,27/01/2026,06/02/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-506480,Clinica Dental Tijuana,2112,27/01/2026,06/02/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,150.0,0.0,0.0,150.0,12.0,-0.0,162.0,162.0,
087958211825-506479,Real Dental Tijuana,2543,26/01/2026,30/01/2026,Real Dental Tijuana,-,Ignacio Manuel Altamirano 4567,Soler,Tijuana,Baja California,22530,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506478,Real Dental Tijuana,2543,26/01/2026,30/01/2026,Real Dental Tijuana,-,Ignacio Manuel Altamirano 4567,Soler,Tijuana,Baja California,22530,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506477,Clinica Dental Coronel,2795,26/01/2026,30/01/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,1020.0,0.0,0.0,1020.0,0.0,-0.0,1020.0,1020.0,
087958211825-506475,Clinica Dental Coronel,2795,26/01/2026,30/01/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,90.0,0.0,0.0,90.0,0.0,-0.0,90.0,90.0,
087958211825-506474,Clinica Dental Tijuana,2112,26/01/2026,30/01/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-506473,Real Dental Tijuana,2543,22/01/2026,30/01/2026,Real Dental Tijuana,-,Ignacio Manuel Altamirano 4567,Soler,Tijuana,Baja California,22530,México,-,90.0,0.0,0.0,90.0,0.0,-0.0,90.0,90.0,
087958211825-506472,Clinica Dental Tijuana,2112,22/01/2026,30/01/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-506471,Clinica Dental Tijuana,2112,22/01/2026,30/01/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,160.0,0.0,0.0,160.0,12.8,-0.0,172.8,172.8,
087958211825-506470,Clinica Dental Coronel,2795,21/01/2026,30/01/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,510.0,0.0,0.0,510.0,0.0,-0.0,510.0,510.0,
087958211825-506469,Superdental,1882,19/01/2026,23/01/2026,Superdental,-,Blvd. Agua Caliente 11988-Local 1,Agua Caliente,Tijuana,Baja California,22420,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506468,Clinica Dental Coronel,2795,17/01/2026,23/01/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506467,Clinica Dental Coronel,2795,17/01/2026,23/01/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,180.0,0.0,0.0,180.0,0.0,-0.0,180.0,180.0,
087958211825-506466,Clinica Dental Coronel,2795,17/01/2026,23/01/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506465,Clinica Dental Coronel,2795,17/01/2026,23/01/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506464,Clinica Dental Tijuana,2112,16/01/2026,23/01/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-506462,Superdental,1882,14/01/2026,23/01/2026,Superdental,-,Blvd. Agua Caliente 11988-Local 1,Agua Caliente,Tijuana,Baja California,22420,México,-,50.0,0.0,0.0,50.0,0.0,-0.0,50.0,50.0,
087958211825-506461,Clinica Dental Tijuana,2112,14/01/2026,23/01/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,150.0,0.0,0.0,150.0,12.0,-0.0,162.0,162.0,
087958211825-506460,Clinica Dental Paleo,6153,14/01/2026,23/01/2026,Clinica Dental Paleo,-,Flores Magon 1225,Zona Centro,Tijuana,Baja California,22000,México,-,140.0,0.0,0.0,140.0,0.0,-0.0,140.0,140.0,
087958211825-506459,Clinica Dental Paleo,6153,14/01/2026,23/01/2026,Clinica Dental Paleo,-,Flores Magon 1225,Zona Centro,Tijuana,Baja California,22000,México,-,70.0,0.0,0.0,70.0,0.0,-0.0,70.0,70.0,
087958211825-506458,Clinica Dental Integral,4505,12/01/2026,23/01/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,80.0,0.0,0.0,80.0,0.0,-0.0,80.0,80.0,
087958211825-506457,Clinica Dental Tijuana,2112,10/01/2026,16/01/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,225.0,0.0,0.0,225.0,18.0,-0.0,243.0,243.0,
087958211825-506456,Clinica Dental Integral,4505,10/01/2026,16/01/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,225.0,0.0,0.0,225.0,0.0,-0.0,225.0,225.0,
087958211825-506455,Dr. Bojorquez,2795,10/01/2026,16/01/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,180.0,0.0,0.0,180.0,0.0,-0.0,180.0,180.0,
087958211825-506454,Dental Studio,6901,10/01/2026,16/01/2026,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506453,Dental Studio,6901,10/01/2026,16/01/2026,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506452,Horizon Dental Group,3297,07/01/2026,16/01/2026,Horizon Dental Group,-,C. Carrillo Puerto 1536-interior 203,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506451,Real Dental Tijuana,2543,06/01/2026,16/01/2026,Real Dental Tijuana,-,Ignacio Manuel Altamirano 4567,Soler,Tijuana,Baja California,22530,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506450,Clinica Dental Integral,4505,02/01/2026,09/01/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506449,Clinica Dental Tijuana,2112,02/01/2026,09/01/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,320.0,0.0,0.0,320.0,25.6,-0.0,345.6,345.6,
087958211825-506448,Dr. Bojorquez,2795,30/12/2025,09/01/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,900.0,0.0,0.0,900.0,0.0,-0.0,900.0,900.0,
087958211825-506447,Clinica Dental Tijuana,2112,27/12/2025,02/01/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-506446,Clinica Dental Tijuana,2112,27/12/2025,02/01/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,300.0,0.0,0.0,300.0,24.0,-0.0,324.0,324.0,
